,,,,着工新設住宅比率,,持ち家比率,,借 家 比 率,,民営借家比率,,空き家比率,,着工新設持ち家比率,,着工新設貸家比率,,一戸建住宅比率,,共同住宅比率,,都,,,,,住宅の敷地面積,,持ち家住宅の延べ面積,,借家住宅の延べ面積,,持ち家住宅の居住室の畳数,,借家住宅の居住室の畳数,,着工新設持ち家住宅の,,着工新設貸家住宅の,,居住室数,,居住室数,,都,,,,,持ち家住宅の畳数,,借家住宅の畳数,,最低居住面積水準,,家計を主に支える者が,,民営賃貸住宅の家賃,,着工居住用建築物,,都市ガス供給区域内,,都市ガス販売量,,ガソリン販売量,,都,,,,,上水道給水人口比率,,下水道普及率,,し尿処理人口比率,,ごみのリサイクル率,,ごみ埋立率,,最終処分場残余容量,,小売店数,,大型小売店数,,百貨店，総合スーパー数,,都,,,,,セルフサービス事業所数,,コンビニエンスストア数,,飲 食 店 数,,理容・美容所数,,クリーニング所数,,公衆浴場数,,郵 便 局 数,,住宅用電話加入数,,携帯電話契約数,,都,,,,,道路実延長,,主要道路実延長,,主要道路舗装率,,市町村道舗装率,,保有自動車数,,自家用乗用車数,,市街化調整区域面積比率,,住居専用地域面積比率,,工業専用地域面積比率,,都,,,,,都市公園面積,,都市公園数,,
,,,,（対居住世帯あり住宅数）,,（対居住世帯あり住宅数）,,（対居住世帯あり住宅数）,,（対居住世帯あり住宅数）,,（対総住宅数）,,（対着工新設住宅戸数）,,（対着工新設住宅戸数）,,（対居住世帯あり住宅数）,,（対居住世帯あり住宅数）,,道,,,,,（１住宅当たり）,,（１住宅当たり）,,（１住宅当たり）,,（１住宅当たり）,,（１住宅当たり）,,床面積,,床面積,,（１住宅当たり）,,（１住宅当たり）,,道,,,,,（１人当たり）,,（１人当たり）,,以上世帯割合,,雇用者である普通世帯比率,,（１か月3.3㎡当たり）,,工事費予定額,,世帯比率,, ,, ,,道,,,,,,,,,,, ,, ,, ,,（人口千人当たり）,,（人口10万人当たり）,,（人口10万人当たり）,,道,,,,,（人口10万人当たり）,,（人口10万人当たり）,,（人口千人当たり）,,（人口10万人当たり）,,（人口10万人当たり）,,（人口10万人当たり）,,(可住地面積100k㎡当たり),,（人口千人当たり）,,（人口千人当たり）,,道,,,,,（総面積１k㎡当たり）,,（総面積１k㎡当たり）,,（対主要道路実延長）,,（対市町村道実延長）,,（人口千人当たり）,,（人口千人当たり）,,(対都市計画区域指定面積),,（対用途地域面積）,,（対用途地域面積）,,道,,,,,（人口１人当たり）,,(可住地面積100k㎡当たり),,
,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,,府,,,,, ,, ,, ,, ,, ,,（１住宅当たり）,,（１住宅当たり）,,＜持ち家＞,,＜借家＞,,府,,,,, ,, ,, ,,［通勤時間90分以上］ １）,, ,,（床面積１㎡当たり）,,（対一般世帯数）,, ,, ,,府,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,,府,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,,府,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,,府,,,,, ,, ,,
,,,,,,,,,,,,,,,,,,,,,,県,,,,,,,,,,,,,,,,,,,,,,,県,,,,,,,,,,,,,,,,,,,,,,,県,,,,,,,,,,,,,,,,,,,,,,,県,,,,,,,,,,,,,,,,,,,,,,,県,,,,,,,,,,,,,,,,,,,,,,,県,,,,,,,,,
,,,,#H01204,,#H01301,,#H01302,,#H0130202,,#H01405,,#H01601,,#H01603,,#H01401,,#H01403,,コ,,,,,#H02104,,#H0210301,,#H0210302,,#H0210201,,#H0210202,,#H0210701,,#H0210703,,#H0210101,,#H0210102,,コ,,,,,#H0220301,,#H0220302,,#H02602,,#H03101,,#H04102,,#H04301,,#H05102,,#H051041,,#H05105,,コ,,,,,#H0520101,,#H0530401,,#H0540102,,#H055031,,#H055041,,#H05505,,#H06127,,#H06131,,#H06132,,コ,,,,,#H06113,,#H0611302,,#H06130,,#H06117,,#H06119,,#H06121,,#H06302,,#H06306,,#H06310,,コ,,,,,#H06401,,#H06402,,#H06406,,#H06408,,#H06501,,#H0650101,,#H07201,,#H0720201,,#H0720206,,コ,,,,,#H08101,,#H08301,,
,単　位,,,％,,％,,％,,％,,％,,％,,％,,％,,％,,｜,,単　位,,,㎡,,㎡,,㎡,,畳,,畳,,㎡,,㎡,,室,,室,,｜,,単　位,,,畳,,畳,,％,,－,,円,,千円,,％,,万MJ,,kl,,｜,,単　位,,,％,,％,,％,,％,,％,,千ｍ3,,店,,店,,店,,｜,,単　位,,,所,,所,,店,,所,,所,,所,,局,,加入,,契約,,｜,,単　位,,,km,,km,,％,,％,,台,,台,,％,,％,,％,,｜,,単　位,,,㎡,,所,,
,年　度,,,2014,,2013,,2013,,2013,,2013,,2014,,2014,,2013,,2013,,ド,,年　度,,,2013,,2013,,2013,,2013,,2013,,2014,,2014,,2013,,2013,,ド,,年　度,,,2013,,2013,,2013,,2013,,2015,,2014,,2014,,2014,,2015,,ド,,年　度,,,2014,,2013,,2014,,2014,,2014,,2014,,2014,,2014,,2014,,ド,,年　度,,,2014,,2014,,2014,,2014,,2014,,2014,,2015,,2015,,2014,,ド,,年　度,,,2014,,2014,,2014,,2014,,2015,,2015,,2013,,2013,,2013,,ド,,年　度,,,2014,,2014,,
,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,全    国,Japan,,1.7,,61.7,,35.5,,28.0,,13.5,,31.6,,40.7,,54.9,,42.4,,全国,,全    国,Japan,,263,,122.3,,46.0,,41.34,,17.90,,123.6,,49.3,,5.69,,2.67,,全国,,全    国,Japan,,15.02,,9.78,,90.2,,16.2,,...,,182.9,,73.3,,"155,301,382",,"53,524,505",,全国,,全    国,Japan,,96.9,,...,,6.1,,20.6,,9.7,,"107,051",,8.02,,14.18,,1.34,,全国,,全    国,Japan,,101.0,,27.6,,4.86,,286.5,,84.0,,3.4,,19.94,,122.4,,"1,242.2",,全国,,全    国,Japan,,3.25,,0.50,,97.5,,78.4,,636.5,,476.8,,37.3,,38.4,,7.9,,全国,,全    国,Japan,,9.56,,86.38,,
01,北海道,Hokkaido,,1.4,31,57.7,43,40.3,6,30.3,7,14.1,25,32.9,37,55.3,2,53.4,40,42.0,10,01,01,北 海 道,Hokkaido,,294,22,121.5,35,52.4,9,42.54,28,21.02,1,127.0,14,56.1,7,5.47,39,2.94,14,01,01,北 海 道,Hokkaido,,16.87,7,11.42,1,93.6,30,4.2,42,"3,723",37,163.9,35,67.7,13,"2,834,521",14,"2,258,355",7,01,01,北 海 道,Hokkaido,,97.3,18,89.8,6,7.3,27,24.6,6,18.2,1,"8,045",3,7.77,39,15.98,4,1.37,21,01,01,北 海 道,Hokkaido,,114.7,20,40.6,1,5.23,13,319.4,31,78.6,36,6.1,8,6.73,47,163.3,10,990.8,25,01,01,北 海 道,Hokkaido,,1.14,47,0.24,47,96.0,39,58.6,46,692.6,35,514.3,36,48.6,10,40.5,15,13.5,3,01,01,北 海 道,Hokkaido,,25.60,1,34.05,36,
02,青森県,Aomori-ken,,1.1,45,71.3,15,27.4,32,21.8,34,13.8,28,60.6,4,31.4,36,76.8,6,19.7,42,02,02,青 森 県,Aomori-ken,,346,11,150.1,11,53.6,2,50.00,10,20.23,4,130.7,6,56.7,4,6.47,13,2.94,14,02,02,青 森 県,Aomori-ken,,17.51,4,10.49,6,95.4,9,6.3,28,"3,671",39,158.8,42,36.6,36,"140,066",42,"569,565",32,02,02,青 森 県,Aomori-ken,,94.3,33,56.6,33,14.0,8,13.5,46,15.1,2,"1,771",15,9.49,19,15.06,14,1.36,23,02,02,青 森 県,Aomori-ken,,107.6,27,30.6,9,5.32,9,434.7,5,78.1,39,24.3,1,11.21,46,178.5,5,881.8,45,02,02,青 森 県,Aomori-ken,,2.06,43,0.41,43,93.7,45,64.5,43,766.8,28,551.0,31,32.9,24,35.7,23,14.9,2,02,02,青 森 県,Aomori-ken,,15.29,6,26.31,42,
03,岩手県,Iwate-ken,,1.9,7,68.9,23,30.6,23,22.7,27,13.8,29,49.2,21,42.7,13,72.7,17,22.4,37,03,03,岩 手 県,Iwate-ken,,404,3,154.6,9,50.5,18,51.13,7,18.58,31,126.9,15,58.5,3,6.72,11,2.78,28,03,03,岩 手 県,Iwate-ken,,17.25,5,9.37,39,95.0,11,9.1,18,"4,182",15,179.6,13,26.1,45,"143,767",41,"600,048",29,03,03,岩 手 県,Iwate-ken,,92.3,40,56.3,34,29.3,1,17.4,28,11.1,16,941,28,9.57,17,13.71,25,1.17,33,03,03,岩 手 県,Iwate-ken,,121.8,5,31.0,5,4.55,34,435.8,4,137.0,1,2.1,22,11.66,45,166.7,9,880.1,46,03,03,岩 手 県,Iwate-ken,,2.16,42,0.31,46,91.1,47,57.4,47,800.6,17,571.1,25,21.2,34,34.0,26,8.6,18,03,03,岩 手 県,Iwate-ken,,10.96,23,32.60,37,
04,宮城県,Miyagi-ken,,2.6,2,58.0,42,40.4,5,33.6,4,9.4,47,30.4,38,50.5,4,55.4,38,41.5,11,04,04,宮 城 県,Miyagi-ken,,353,10,133.9,22,44.3,42,44.99,19,16.96,45,130.0,8,58.6,2,6.03,23,2.54,44,04,04,宮 城 県,Miyagi-ken,,15.24,29,9.24,43,89.6,42,8.7,20,"4,582",11,186.3,5,68.7,12,"1,264,502",20,"1,288,213",13,04,04,宮 城 県,Miyagi-ken,,98.6,9,78.6,14,13.4,9,16.4,34,12.6,8,"5,347",5,7.94,37,14.43,18,1.76,7,04,04,宮 城 県,Miyagi-ken,,104.5,32,33.4,2,4.16,40,309.5,35,70.8,43,0.4,41,14.42,39,122.3,30,"1,068.0",12,04,04,宮 城 県,Miyagi-ken,,3.41,23,0.48,36,99.0,15,73.8,38,723.3,33,544.6,33,40.1,17,36.1,21,8.1,21,04,04,宮 城 県,Miyagi-ken,,15.55,5,90.25,14,
05,秋田県,Akita-ken,,1.0,46,78.1,2,21.0,46,16.1,46,12.7,39,63.7,1,28.0,43,81.0,1,17.2,47,05,05,秋 田 県,Akita-ken,,374,5,162.0,5,51.2,15,52.85,2,19.28,14,131.4,5,56.4,6,6.76,10,2.78,28,05,05,秋 田 県,Akita-ken,,18.44,1,10.66,4,96.9,1,4.9,34,"3,936",32,152.0,46,38.7,32,"267,510",34,"448,959",39,05,05,秋 田 県,Akita-ken,,88.4,45,61.2,29,24.2,4,16.2,35,9.6,27,"1,505",20,10.26,6,15.24,11,1.54,15,05,05,秋 田 県,Akita-ken,,116.0,14,29.8,14,4.81,27,542.5,1,78.9,35,1.2,34,12.51,43,170.8,7,873.6,47,05,05,秋 田 県,Akita-ken,,2.03,44,0.32,45,97.6,28,64.4,44,799.6,18,577.5,24,15.5,40,32.7,27,5.5,30,05,05,秋 田 県,Akita-ken,,14.96,8,18.15,47,
06,山形県,Yamagata-ken,,1.2,40,76.7,3,22.5,44,18.6,43,10.7,45,56.8,8,32.1,35,79.8,2,18.4,46,06,06,山 形 県,Yamagata-ken,,408,2,168.0,3,51.1,16,51.64,3,18.61,30,136.4,3,54.7,15,6.92,5,2.77,30,06,06,山 形 県,Yamagata-ken,,16.15,13,9.42,36,95.9,4,7.0,26,"4,141",19,158.8,41,30.1,41,"234,401",36,"491,235",35,06,06,山 形 県,Yamagata-ken,,96.9,20,74.2,17,9.2,22,15.8,36,11.8,12,626,35,10.30,5,12.20,36,1.50,17,06,06,山 形 県,Yamagata-ken,,119.2,9,30.4,10,5.07,16,500.4,2,94.7,18,0.1,47,13.80,40,131.4,22,904.4,44,06,06,山 形 県,Yamagata-ken,,1.77,46,0.39,44,93.0,46,80.2,32,830.8,10,612.9,11,43.9,14,29.3,35,8.9,15,06,06,山 形 県,Yamagata-ken,,16.25,3,29.25,39,
07,福島県,Fukushima-ken,,2.1,4,66.5,28,32.4,17,24.9,19,11.7,41,50.6,17,40.2,20,70.5,22,26.2,27,07,07,福 島 県,Fukushima-ken,,369,7,146.4,14,49.4,26,47.14,13,18.23,36,132.6,4,55.9,9,6.47,13,2.81,25,07,07,福 島 県,Fukushima-ken,,15.41,26,9.14,45,93.6,31,8.6,21,"4,031",26,177.4,17,37.1,35,"560,709",27,"963,314",19,07,07,福 島 県,Fukushima-ken,,88.2,46,...,    -,11.2,14,13.9,43,10.2,22,818,32,9.03,26,11.27,42,1.60,9,07,07,福 島 県,Fukushima-ken,,105.9,29,24.7,38,4.27,39,363.3,17,75.5,40,0.6,39,12.97,42,149.7,15,952.9,35,07,07,福 島 県,Fukushima-ken,,2.81,35,0.44,39,97.0,33,67.8,42,865.3,6,632.7,8,29.8,28,28.8,36,10.0,12,07,07,福 島 県,Fukushima-ken,,11.53,20,26.79,41,
08,茨城県,Ibaraki-ken,,2.0,5,71.3,14,26.7,36,21.8,32,14.6,22,42.8,31,38.0,22,73.5,15,24.4,31,08,08,茨 城 県,Ibaraki-ken,,425,1,131.1,26,48.3,35,44.23,24,18.63,29,123.9,24,51.1,34,5.99,28,2.76,31,08,08,茨 城 県,Ibaraki-ken,,14.87,35,9.64,30,94.1,24,27.4,4,"4,088",25,170.2,24,41.3,28,"10,275,245",6,"1,565,004",11,08,08,茨 城 県,Ibaraki-ken,,91.6,41,59.2,32,8.5,24,22.8,12,8.0,35,381,42,8.03,36,13.16,31,1.34,25,08,08,茨 城 県,Ibaraki-ken,,105.3,30,30.8,6,4.03,41,337.6,24,82.4,30,0.2,43,13.11,41,129.1,25,"1,003.5",22,08,08,茨 城 県,Ibaraki-ken,,9.16,6,0.75,10,99.0,16,62.0,45,882.6,4,665.1,3,58.7,7,41.7,13,17.4,1,08,08,茨 城 県,Ibaraki-ken,,9.07,33,49.32,30,
09,栃木県,Tochigi-ken,,1.8,8,70.6,20,27.5,31,23.8,25,16.3,11,46.5,26,34.8,32,74.0,14,24.6,29,09,09,栃 木 県,Tochigi-ken,,375,4,134.2,21,48.6,32,43.94,26,18.44,33,125.3,19,52.8,26,6.02,26,2.73,35,09,09,栃 木 県,Tochigi-ken,,14.65,37,9.95,19,94.2,22,17.6,8,"3,995",30,168.4,27,42.0,26,"1,697,474",18,"989,434",17,09,09,栃 木 県,Tochigi-ken,,95.5,28,62.8,27,6.2,29,16.8,30,8.9,29,455,40,8.51,34,13.38,26,1.36,22,09,09,栃 木 県,Tochigi-ken,,113.0,22,30.7,7,4.65,31,324.0,27,73.6,41,0.6,40,12.04,44,127.6,27,979.9,30,09,09,栃 木 県,Tochigi-ken,,3.92,17,0.59,26,97.0,32,83.6,23,867.3,5,665.7,2,36.0,21,24.5,46,12.4,4,09,09,栃 木 県,Tochigi-ken,,13.59,11,71.01,19,
10,群馬県,Gumma-ken,,1.5,19,70.6,19,27.1,33,22.1,31,16.6,9,54.5,11,28.9,42,74.6,11,23.3,35,10,10,群 馬 県,Gumma-ken,,355,9,133.1,23,49.6,25,43.03,27,18.89,24,121.2,33,53.2,22,5.87,32,2.81,25,10,10,群 馬 県,Gumma-ken,,14.91,34,9.80,23,94.4,17,13.4,14,"3,685",38,167.9,29,49.7,22,"2,303,692",16,"909,993",20,10,10,群 馬 県,Gumma-ken,,97.5,17,51.2,37,5.9,31,15.6,38,11.1,17,"1,163",25,8.71,30,14.02,23,1.01,41,10,10,群 馬 県,Gumma-ken,,117.6,10,30.7,8,4.56,33,356.2,18,118.2,6,1.4,31,14.92,38,131.2,23,999.5,23,10,10,群 馬 県,Gumma-ken,,5.47,9,0.54,32,97.3,31,69.1,41,904.5,1,687.9,1,34.1,22,34.9,25,9.7,13,10,10,群 馬 県,Gumma-ken,,12.43,17,62.71,25,
11,埼玉県,Saitama-ken,,1.9,6,66.1,31,31.4,20,25.8,15,10.9,44,28.6,40,37.5,25,56.1,37,42.3,9,11,11,埼 玉 県,Saitama-ken,,216,41,107.0,43,43.7,44,37.74,41,17.43,41,119.5,39,46.2,44,5.23,42,2.64,40,11,11,埼 玉 県,Saitama-ken,,13.53,44,9.50,35,90.8,40,42.1,1,"6,332",3,177.9,15,90.9,6,"7,420,056",8,"2,472,203",4,11,11,埼 玉 県,Saitama-ken,,98.9,8,78.6,13,1.7,45,24.6,6,5.2,45,"2,118",11,5.97,45,13.34,28,1.12,36,11,11,埼 玉 県,Saitama-ken,,88.8,44,23.1,40,3.51,45,224.3,44,79.0,34,0.8,38,24.96,16,108.0,39,"1,090.2",6,11,11,埼 玉 県,Saitama-ken,,12.34,1,0.89,7,99.2,13,69.9,40,558.8,42,433.9,42,59.7,6,41.7,12,4.8,35,11,11,埼 玉 県,Saitama-ken,,6.83,43,196.56,8,
