,,,,消 防 署 数,,消防団・分団数,,消防ポンプ自動車等現有数,,消防水利数,,消防吏員数,,消防機関出動回数,,火災のための消防機関,,火災出火件数,,建物火災出火件数,,都,,,,,火災死傷者数,,火災死傷者数,,建物火災損害額,,建物火災損害額,,立体横断施設数,,横断歩道数,,信号機設置数,,交通事故発生件数,,交通事故発生件数,,都,,,,,交通事故死傷者数,,交通事故死者数,,道路交通法違反検挙件数,,警察署・交番・駐在所数,,警 察 官 数,,刑法犯認知件数,,窃盗犯認知件数,,刑法犯検挙率,,窃盗犯検挙率,,都,,,,,災害被害額,,不慮の事故による死亡者数,,公害苦情件数,,ばい煙発生施設数,,一般粉じん発生施設数,,水質汚濁防止法上の,,民間生命保険保有契約件数,,民間生命保険保険金額,,民間生命保険保険金額,,都,,,,,火災保険住宅物件・,,火災保険住宅物件・,,
,,,,(可住地面積100k㎡当たり),,(可住地面積100k㎡当たり),,（人口10万人当たり）,,（人口10万人当たり）,,（人口10万人当たり）,,（人口10万人当たり）,,出動回数,,（人口10万人当たり）,,（人口10万人当たり）,,道,,,,,（人口10万人当たり）,,（建物火災100件当たり）,,（人口１人当たり）,,（建物火災１件当たり）,,（道路実延長千km当たり）,,（道路実延長千km当たり）,,（道路実延長千km当たり）,,（道路実延長千km当たり）,,（人口10万人当たり）,,道,,,,,（人口10万人当たり）,,（人口10万人当たり）,,（人口千人当たり）,,(可住地面積100k㎡当たり),,（人口千人当たり）,,（人口千人当たり）,,（人口千人当たり）,,（認知件数１件当たり）,,（認知件数１件当たり）,,道,,,,,（人口１人当たり）,,（人口10万人当たり）,,（人口10万人当たり）,, ,, ,,特定事業場数,,（人口千人当たり）,,（保有契約１件当たり）,,（１世帯当たり）,,道,,,,,一般物件新契約件数,,一般物件受取保険金額,,
,,,, ,, ,, ,, ,, ,, ,,（人口10万人当たり）,, ,, ,,府,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,,府,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,,府,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,,府,,,,,（一般世帯千世帯当たり）,,（保有契約１件当たり）,,
,,,,,,,,,,,,,,,,,,,,,,県,,,,,,,,,,,,,,,,,,,,,,,県,,,,,,,,,,,,,,,,,,,,,,,県,,,,,,,,,,,,,,,,,,,,,,,県,,,,,,,,,
,,,,#K01102,,#K01104,,#K01105,,#K01107,,#K01302,,#K01401,,#K01402,,#K02101,,#K02103,,コ,,,,,#K02203,,#K02303,,#K02205,,#K02306,,#K03102,,#K03104,,#K03112,,#K04102,,#K04101,,コ,,,,,#K04105,,#K04106,,#K04301,,#K05102,,#K05103,,#K06101,,#K06104,,#K06201,,#K06204,,コ,,,,,#K07105,,#K08101,,#K09201,,#K09210,,#K09211,,#K09220,,#K10101,,#K10105,,#K10107,,コ,,,,,#K10301,,#K10305,,
,単　位,,,署,,団,,台,,所,,人,,回,,回,,件,,件,,｜,,単　位,,,人,,人,,円,,万円,,所,,本,,基,,件,,件,,｜,,単　位,,,人,,人,,件,,所,,人,,件,,件,,％,,％,,｜,,単　位,,,円,,人,,件,,件,,件,,件,,件,,万円,,万円,,｜,,単　位,,,件,,万円,,
,年　度,,,2015,,2015,,2015,,2015,,2015,,2014,,2014,,2014,,2014,,ド,,年　度,,,2014,,2014,,2014,,2014,,2014,,2014,,2014,,2014,,2015,,ド,,年　度,,,2015,,2015,,2014,,2015,,2015,,2014,,2014,,2014,,2014,,ド,,年　度,,,2014,,2015,,2014,,2014,,2014,,2014,,2015,,2015,,2015,,ド,,年　度,,,2014,,2014,,
,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,全    国,Japan,,4.6,,20.2,,72.5,,"1,996.7",,126.4,,"2,886.4",,64.2,,34.4,,18.6,,全国,,全    国,Japan,,6.26,,33.6,,611,,328.5,,12.32,,939.8,,171.0,,474.1,,422.4,,全国,,全    国,Japan,,527.3,,3.2,,55.4,,11.3,,2.03,,9.54,,7.06,,30.6,,26.2,,全国,,全    国,Japan,,"3,087",,30.1,,40.8,,"217,186",,"70,084",,"266,875",,"2,901.3",,334.6,,"2,308.3",,全国,,全    国,Japan,,130.4,,91.0,,
01,北海道,Hokkaido,,2.0,47,5.7,47,58.8,38,"1,298.4",46,167.9,3,"4,201.7",2,63.2,28,38.6,15,21.6,8,01,01,北 海 道,Hokkaido,,5.61,38,26.0,46,609,28,282.4,36,3.77,45,463.2,44,145.6,23,136.9,43,206.7,44,01,01,北 海 道,Hokkaido,,247.0,45,3.3,34,69.0,6,3.5,47,1.98,16,7.47,24,5.12,27,34.3,30,32.1,31,01,01,北 海 道,Hokkaido,,"2,612",23,28.4,38,15.5,47,"16,259",1,"4,280",3,"6,112",16,"1,476.9",16,413.9,46,"1,345.6",46,01,01,北 海 道,Hokkaido,,133.4,16,88.2,15,
02,青森県,Aomori-ken,,3.1,37,25.5,18,133.0,14,"1,987.4",33,200.9,1,"3,859.5",6,98.3,4,44.2,6,22.0,6,02,02,青 森 県,Aomori-ken,,9.01,3,40.9,8,893,9,405.2,17,5.29,39,706.5,29,130.5,29,208.2,38,294.6,39,02,02,青 森 県,Aomori-ken,,367.9,39,3.1,38,41.2,35,5.3,45,1.77,31,4.36,44,2.93,44,43.5,14,42.0,13,02,02,青 森 県,Aomori-ken,,"4,146",16,37.7,21,18.7,45,"3,563",23,"1,643",15,"4,795",25,"1,270.0",41,530.4,19,"1,724.9",30,02,02,青 森 県,Aomori-ken,,125.1,25,126.4,4,
03,岩手県,Iwate-ken,,2.4,45,13.2,42,159.8,7,"2,315.3",24,153.1,7,"4,460.0",1,80.2,11,37.5,17,21.3,10,03,03,岩 手 県,Iwate-ken,,8.41,6,39.4,11,"1,459",2,683.7,1,3.63,46,295.0,47,57.5,47,82.1,47,200.1,45,03,03,岩 手 県,Iwate-ken,,257.9,43,6.3,3,44.4,30,5.8,42,1.68,40,3.98,46,2.80,46,41.9,16,38.3,17,03,03,岩 手 県,Iwate-ken,,"2,384",25,41.0,11,30.8,37,"3,025",27,"1,485",19,"5,268",21,"1,247.4",43,525.0,22,"1,699.6",33,03,03,岩 手 県,Iwate-ken,,103.1,43,151.2,1,
04,宮城県,Miyagi-ken,,3.4,34,16.6,38,100.5,24,"1,966.5",35,130.1,24,"3,509.8",14,60.5,32,36.3,20,19.3,19,04,04,宮 城 県,Miyagi-ken,,6.62,24,34.3,26,639,25,331.1,29,7.06,31,703.6,31,138.3,26,368.6,23,369.5,28,04,04,宮 城 県,Miyagi-ken,,470.4,28,2.8,43,44.2,31,7.9,37,1.64,45,8.00,20,5.80,21,32.1,34,28.7,34,04,04,宮 城 県,Miyagi-ken,,"1,900",28,28.7,37,22.2,43,"4,254",17,731,32,"5,539",18,"1,513.7",12,497.1,34,"1,859.1",24,04,04,宮 城 県,Miyagi-ken,,142.0,7,76.7,31,
05,秋田県,Akita-ken,,2.8,42,15.4,39,222.2,2,"2,496.6",19,194.7,2,"3,375.8",16,66.2,25,33.8,30,19.2,20,05,05,秋 田 県,Akita-ken,,8.68,5,45.2,3,737,20,383.9,21,4.23,43,416.6,45,80.6,44,96.0,45,210.2,43,05,05,秋 田 県,Akita-ken,,254.7,44,3.7,28,35.1,39,5.1,46,1.93,17,3.47,47,2.43,47,64.5,1,58.0,2,05,05,秋 田 県,Akita-ken,,"3,519",19,45.6,4,34.5,32,"2,659",32,526,41,"3,638",36,"1,217.6",45,502.5,32,"1,611.3",41,05,05,秋 田 県,Akita-ken,,108.3,39,84.1,18,
06,山形県,Yamagata-ken,,2.4,46,12.6,43,235.1,1,"3,098.3",6,131.2,22,"3,506.0",15,77.1,12,40.8,13,21.8,7,06,06,山 形 県,Yamagata-ken,,8.13,9,37.4,16,882,10,405.4,16,9.27,28,663.9,32,108.9,37,389.2,20,573.5,8,06,06,山 形 県,Yamagata-ken,,720.2,9,5.1,10,34.6,42,5.8,43,1.77,30,4.74,42,3.10,43,57.5,3,55.3,5,06,06,山 形 県,Yamagata-ken,,"10,492",7,42.3,10,45.1,18,"2,724",30,675,36,"3,760",35,"1,494.2",14,531.9,18,"2,270.6",5,06,06,山 形 県,Yamagata-ken,,127.9,21,86.5,16,
07,福島県,Fukushima-ken,,2.7,43,15.0,40,185.5,4,"2,220.6",28,128.1,28,"3,858.9",7,73.6,15,35.0,28,17.4,34,07,07,福 島 県,Fukushima-ken,,7.49,12,43.0,5,647,23,371.8,22,7.61,29,518.4,42,104.1,43,198.9,39,360.2,32,07,07,福 島 県,Fukushima-ken,,440.0,30,4.0,23,32.8,43,5.6,44,1.85,20,7.40,26,5.10,28,33.0,33,32.1,30,07,07,福 島 県,Fukushima-ken,,"1,856",29,40.1,13,19.6,44,"4,569",15,"1,737",13,"7,975",12,"1,359.9",33,529.1,20,"1,867.1",23,07,07,福 島 県,Fukushima-ken,,137.2,10,92.9,13,
08,茨城県,Ibaraki-ken,,3.8,31,27.2,14,71.1,32,"2,646.9",13,149.9,9,"2,364.6",33,92.2,6,44.5,5,22.1,5,08,08,茨 城 県,Ibaraki-ken,,7.33,13,33.1,31,"1,498",1,676.9,2,6.02,36,629.4,34,110.1,35,224.5,36,398.1,21,08,08,茨 城 県,Ibaraki-ken,,523.7,20,4.8,13,36.9,38,6.1,41,1.64,44,10.45,9,8.02,8,31.6,35,30.1,33,08,08,茨 城 県,Ibaraki-ken,,"1,047",37,30.1,35,62.8,1,"5,900",11,"2,427",9,"8,563",8,"1,184.2",46,520.2,26,"1,598.1",42,08,08,茨 城 県,Ibaraki-ken,,139.5,8,109.6,8,
09,栃木県,Tochigi-ken,,2.9,41,10.8,45,70.9,33,"2,599.7",15,121.9,36,"2,724.4",26,75.1,14,43.2,9,21.0,13,09,09,栃 木 県,Tochigi-ken,,7.27,14,34.6,24,"1,155",5,549.7,5,11.66,18,933.4,16,176.7,16,255.2,35,320.5,36,09,09,栃 木 県,Tochigi-ken,,403.7,34,5.0,12,32.6,44,9.6,31,1.71,38,8.26,18,5.98,19,37.8,23,34.6,22,09,09,栃 木 県,Tochigi-ken,,"10,163",8,26.7,40,44.6,19,"4,071",19,"2,569",8,"8,173",11,"1,448.0",20,588.2,1,"2,203.5",7,09,09,栃 木 県,Tochigi-ken,,148.8,3,127.5,3,
10,群馬県,Gumma-ken,,4.0,29,20.0,33,64.0,36,"1,825.5",39,128.8,27,"3,297.5",18,100.8,3,47.8,2,23.1,1,10,10,群 馬 県,Gumma-ken,,9.16,1,39.7,10,817,14,354.0,26,6.92,32,845.6,22,117.8,33,468.8,16,771.8,6,10,10,群 馬 県,Gumma-ken,,991.2,5,3.4,30,43.1,33,9.0,33,1.71,37,9.00,13,6.44,14,46.3,9,43.9,10,10,10,群 馬 県,Gumma-ken,,"12,323",5,33.7,28,50.1,9,"4,013",20,671,37,"5,143",22,"1,367.8",32,540.7,11,"1,885.5",22,10,10,群 馬 県,Gumma-ken,,134.2,14,124.2,5,
11,埼玉県,Saitama-ken,,8.6,5,26.5,15,27.2,47,"1,664.4",41,114.5,39,"2,163.3",38,61.8,29,32.7,36,16.5,41,11,11,埼 玉 県,Saitama-ken,,5.11,41,31.0,38,466,41,282.9,35,18.99,8,"1,315.3",6,219.7,7,657.7,12,406.4,20,11,11,埼 玉 県,Saitama-ken,,499.4,22,2.4,44,49.8,23,15.8,9,1.57,47,10.62,8,7.86,9,27.7,41,21.8,42,11,11,埼 玉 県,Saitama-ken,,"1,433",33,19.3,47,45.4,17,"7,250",9,"1,443",20,"9,321",6,"1,254.4",42,536.1,15,"1,644.3",36,11,11,埼 玉 県,Saitama-ken,,121.7,26,133.3,2,
12,千葉県,Chiba-ken,,6.7,8,23.9,22,46.8,41,"1,609.5",42,127.4,29,"2,437.3",32,71.1,21,36.2,22,17.6,33,12,12,千 葉 県,Chiba-ken,,6.91,20,39.3,12,619,27,351.8,27,10.11,25,"1,087.6",10,202.9,10,487.3,15,299.7,38,12,12,千 葉 県,Chiba-ken,,376.7,37,2.9,40,43.5,32,14.8,12,1.88,18,10.98,7,8.38,5,30.3,38,27.9,36,12,12,千 葉 県,Chiba-ken,,896,40,23.1,43,53.7,7,"7,435",8,"2,127",10,"10,487",4,"1,318.1",38,526.3,21,"1,654.6",34,12,12,千 葉 県,Chiba-ken,,120.0,28,99.4,11,
13,東京都,Tokyo-to,,21.6,1,57.5,1,27.8,46,"1,421.4",44,138.5,13,"3,909.5",5,54.1,38,36.1,23,22.5,3,13,13,東 京 都,Tokyo-to,,6.55,25,29.1,43,351,44,155.8,46,48.62,1,"4,351.1",1,651.4,1,"1,539.9",2,253.6,41,13,13,東 京 都,Tokyo-to,,296.6,41,1.2,47,72.6,2,83.6,1,3.22,1,11.96,3,8.76,3,26.2,42,19.3,46,13,13,東 京 都,Tokyo-to,,35,46,19.4,46,45.7,16,"14,456",2,"1,493",18,"3,390",40,"14,212.1",1,188.5,47,"5,401.9",1,13,13,東 京 都,Tokyo-to,,150.7,2,91.3,14,
14,神奈川県,Kanagawa-ken,,19.7,3,40.1,6,31.3,45,"1,368.9",45,105.4,46,"2,095.6",40,51.2,43,26.1,44,14.7,44,14,14,神奈川県,Kanagawa-ken,,5.01,42,34.1,28,272,46,184.6,45,36.12,3,"2,871.0",2,372.5,3,"1,192.1",3,310.2,37,14,14,神奈川県,Kanagawa-ken,,372.0,38,2.0,46,68.2,7,45.3,3,1.70,39,7.40,27,5.62,24,40.1,19,34.1,25,14,14,神奈川県,Kanagawa-ken,,606,41,29.0,36,31.2,36,"9,935",5,"1,990",12,"7,767",13,"1,458.2",18,491.1,35,"1,642.4",37,14,14,神奈川県,Kanagawa-ken,,118.7,30,82.0,24,
15,新潟県,Niigata-ken,,3.1,38,13.4,41,159.7,8,"2,588.4",16,141.7,10,"3,608.8",12,52.9,39,27.3,42,17.9,29,15,15,新 潟 県,Niigata-ken,,6.14,31,34.2,27,710,21,395.6,19,6.82,35,766.4,26,139.3,25,170.2,42,232.0,42,15,15,新 潟 県,Niigata-ken,,285.3,42,4.2,20,27.0,45,7.9,36,1.80,28,7.10,29,4.89,34,39.3,20,36.3,20,15,15,新 潟 県,Niigata-ken,,"2,882",22,43.1,6,36.7,26,"5,766",12,828,29,"8,621",7,"1,310.4",40,565.2,5,"2,012.3",14,15,15,新 潟 県,Niigata-ken,,105.5,41,82.2,23,
16,富山県,Toyama-ken,,3.0,40,18.2,36,90.6,28,"2,268.1",25,123.2,34,"3,533.2",13,37.3,47,20.5,47,14.4,45,16,16,富 山 県,Toyama-ken,,7.10,16,49.4,1,602,30,418.5,14,14.83,13,909.9,18,176.6,17,318.3,26,370.0,27,16,16,富 山 県,Toyama-ken,,435.1,32,6.6,2,34.7,40,8.8,34,1.82,25,5.82,40,4.12,39,28.1,40,27.5,37,16,16,富 山 県,Toyama-ken,,"1,014",38,51.2,2,16.7,46,"3,156",26,"1,177",22,"3,454",38,"1,875.0",4,577.9,2,"2,953.8",2,16,16,富 山 県,Toyama-ken,,126.2,22,75.3,33,
17,石川県,Ishikawa-ken,,5.0,19,19.6,34,58.7,39,"2,605.4",14,131.3,21,"3,707.5",11,44.9,46,22.2,45,11.1,47,17,17,石 川 県,Ishikawa-ken,,4.67,45,42.2,6,526,36,475.4,11,13.45,14,904.2,19,179.7,14,313.2,28,328.5,34,17,17,石 川 県,Ishikawa-ken,,393.2,35,4.0,24,51.1,22,13.4,19,1.71,36,6.48,34,5.08,29,40.9,17,37.1,19,17,17,石 川 県,Ishikawa-ken,,"1,332",35,37.8,20,24.6,42,"2,660",31,691,35,"3,840",34,"1,556.7",11,535.3,17,"2,121.0",12,17,17,石 川 県,Ishikawa-ken,,125.5,23,52.2,47,
18,福井県,Fukui-ken,,5.4,18,23.5,24,93.3,26,"3,100.5",5,153.3,6,"3,338.7",17,50.4,44,27.0,43,17.6,32,18,18,福 井 県,Fukui-ken,,5.32,40,30.2,41,435,42,247.1,42,10.49,23,867.3,20,177.6,15,224.3,37,278.1,40,18,18,福 井 県,Fukui-ken,,332.9,40,6.0,4,48.4,25,13.6,17,2.20,8,6.17,37,4.57,35,55.5,4,56.4,3,18,18,福 井 県,Fukui-ken,,"2,251",26,46.3,3,54.4,6,"1,870",38,481,44,"2,375",46,"1,660.3",6,570.2,4,"2,663.1",3,18,18,福 井 県,Fukui-ken,,139.0,9,71.7,36,
19,山梨県,Yamanashi-ken,,6.4,9,26.1,17,172.8,5,"3,432.0",2,140.7,12,"3,072.7",20,112.1,1,51.8,1,19.9,16,19,19,山 梨 県,Yamanashi-ken,,8.09,10,40.7,9,789,17,397.5,18,13.36,15,823.6,23,162.8,19,407.4,19,553.5,9,19,19,山 梨 県,Yamanashi-ken,,732.6,8,4.0,25,69.1,5,16.5,8,1.98,15,7.76,21,6.15,17,30.5,37,27.2,39,19,19,山 梨 県,Yamanashi-ken,,"30,987",2,43.7,5,49.3,11,"2,145",34,596,40,"4,854",24,"1,379.7",29,557.0,6,"1,938.8",17,19,19,山 梨 県,Yamanashi-ken,,130.2,19,117.1,7,
20,長野県,Nagano-ken,,3.3,35,21.7,31,155.5,10,"3,243.7",4,117.3,38,"2,884.4",21,92.3,5,45.2,4,21.1,12,20,20,長 野 県,Nagano-ken,,8.16,8,38.7,13,762,18,361.1,23,11.50,20,376.3,46,74.2,46,194.7,40,422.4,16,20,20,長 野 県,Nagano-ken,,525.1,19,3.3,35,45.4,29,7.8,38,1.65,43,6.26,35,4.52,36,40.5,18,39.1,15,20,20,長 野 県,Nagano-ken,,"13,435",3,37.5,22,57.0,4,"5,195",13,"1,393",21,"12,434",1,"1,352.6",34,540.9,10,"1,902.6",19,20,20,長 野 県,Nagano-ken,,116.5,32,83.1,20,
