都道府県,全国,一般館,シネコン,"デジタル
設備",内３Ｄ,
,スクリーン数,スクリーン数,スクリーン数,,,
全国,"3,525",429,"3,096","3,453","1,214",
東京都,363,88,275,355,139,
神奈川県,208,15,193,204,73,
千葉県,209,6,203,208,64,
埼玉県,209,5,204,209,72,
群馬県,61,3,58,60,25,
栃木県,65,5,60,65,20,
茨城県,90,6,84,89,29,
新潟県,63,2,61,63,24,
長野県,72,19,53,68,25,
山梨県,14,5,9,13,4,
静岡県,96,5,91,94,35,
福島県,26,12,14,26,12,
宮城県,72,7,65,71,23,
岩手県,23,9,14,23,10,
青森県,44,6,38,41,18,
秋田県,19,1,18,19,6,
山形県,56,4,52,56,20,
愛知県,293,19,274,288,99,
岐阜県,56,6,50,54,17,
富山県,26,0,26,26,8,
石川県,61,2,59,60,25,
福井県,31,14,17,30,14,
三重県,58,8,50,55,18,
大阪府,224,19,205,216,74,
京都府,78,14,64,76,25,
兵庫県,121,29,92,117,39,
滋賀県,38,4,34,38,15,
奈良県,34,0,34,34,14,
和歌山県,30,10,20,30,8,
岡山県,39,8,31,38,13,
広島県,71,12,59,69,26,
鳥取県,11,5,6,11,4,
島根県,15,0,15,15,7,
山口県,30,1,29,30,13,
徳島県,19,2,17,19,10,
香川県,26,3,23,24,10,
愛媛県,59,3,56,58,18,
高知県,11,2,9,11,3,
福岡県,164,17,147,159,51,
佐賀県,20,2,18,19,5,
長崎県,25,1,24,25,10,
熊本県,49,5,44,48,15,
大分県,35,5,30,32,9,
宮崎県,18,9,9,17,6,
鹿児島県,39,3,36,39,13,
北海道,114,21,93,112,37,
沖縄県,40,7,33,39,9,